,id,primary_title,release_year
304,tt0033021,Santa Fe Trail,1940
305,tt0033028,The Sea Hawk,1940
306,tt0033045,The Shop Around the Corner,1940
307,tt0033149,They Drive by Night,1940
308,tt0033152,The Thief of Bagdad,1940
309,tt0033238,Waterloo Bridge,1940
310,tt0033253,The Westerner,1940
311,tt0033373,Ball of Fire,1941
312,tt0033388,The Big Store,1941
313,tt0033436,Buck Privates,1941
314,tt0033467,Citizen Kane,1941
315,tt0033532,The Devil and Daniel Webster,1941
316,tt0033553,Dr. Jekyll and Mr. Hyde,1941
317,tt0033563,Dumbo,1941
318,tt0033627,49th Parallel,1941
319,tt0033712,Here Comes Mr. Jordan,1941
320,tt0033717,High Sierra,1941
321,tt0033729,How Green Was My Valley,1941
322,tt0033804,The Lady Eve,1941
323,tt0033836,The Little Foxes,1941
324,tt0033852,Love Crazy,1941
325,tt0033870,The Maltese Falcon,1941
326,tt0033874,The Man Who Came to Dinner,1942
327,tt0033891,Meet John Doe,1941
328,tt0033922,Mr. & Mrs. Smith,1941
329,tt0034012,Penny Serenade,1941
330,tt0034116,Road to Zanzibar,1941
331,tt0034167,Sergeant York,1941
332,tt0034172,Shadow of the Thin Man,1941
333,tt0034240,Sullivan's Travels,1941
334,tt0034248,Suspicion,1941
335,tt0034272,That Hamilton Woman,1941
336,tt0034277,They Died with Their Boots On,1941
337,tt0034398,The Wolf Man,1941
338,tt0034492,Bambi,1942
339,tt0034493,The Children Are Watching Us,1944
340,tt0034583,Casablanca,1942
341,tt0034587,Cat People,1942
342,tt0034742,Flying Tigers,1942
343,tt0034746,For Me and My Gal,1942
344,tt0034786,The Ghost of Frankenstein,1942
345,tt0034862,Holiday Inn,1942
346,tt0034881,I Married a Witch,1942
347,tt0034928,The Jungle Book,1942
348,tt0034946,Kings Row,1942
349,tt0035015,The Magnificent Ambersons,1942
350,tt0035019,The Major and the Minor,1942
351,tt0035093,Mrs. Miniver,1942
352,tt0035096,The Mummy's Tomb,1942
353,tt0035140,"Now, Voyager",1942
354,tt0035160,Ossessione,1943
355,tt0035169,The Palm Beach Story,1942
356,tt0035211,The Pride of the Yankees,1942
357,tt0035238,Random Harvest,1942
358,tt0035262,Road to Morocco,1942
359,tt0035279,Saboteur,1942
360,tt0035317,Sherlock Holmes and the Secret Weapon,1942
361,tt0035318,Sherlock Holmes and the Voice of Terror,1942
362,tt0035417,The Talk of the Town,1942
363,tt0035423,Kate & Leopold,2001
364,tt0035432,This Gun for Hire,1942
