entity_id,img_url
nm0903049,"https://m.media-amazon.com/images/M/MV5BMTg1MzYxMzkyNV5BMl5BanBnXkFtZTYwNjMxNjI2._V1_UY317_CR0,0,214,317_AL_.jpg"
nm0046082,"https://m.media-amazon.com/images/M/MV5BMTU3OTI1MDM5NF5BMl5BanBnXkFtZTcwNjE3NzgyMQ@@._V1_UY317_CR100,0,214,317_AL_.jpg"
nm0189076,NONE
nm0928514,"https://m.media-amazon.com/images/M/MV5BNjBjMjc0OGItYzA2Yy00MjQ0LWFkYmItYWYxMjZjYjgxODY3XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR14,0,214,317_AL_.jpg"
nm0587277,"https://m.media-amazon.com/images/M/MV5BMzNhZDI4NGUtZjQ0MS00NWZlLWFiNzQtZWY5ZjcwZmRiODM0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR13,0,214,317_AL_.jpg"
nm0516001,"https://m.media-amazon.com/images/M/MV5BMjA0ODc5MTIyOV5BMl5BanBnXkFtZTgwNDgxODIwMjE@._V1_UY317_CR20,0,214,317_AL_.jpg"
nm0397834,NONE
nm0017893,"https://m.media-amazon.com/images/M/MV5BNjk5NDU0MzQ2M15BMl5BanBnXkFtZTgwNDk4OTQwMjE@._V1_UY317_CR98,0,214,317_AL_.jpg"
nm0001178,"https://m.media-amazon.com/images/M/MV5BNzgzMDgyNDA3NV5BMl5BanBnXkFtZTgwNjE1OTExMjE@._V1_UY317_CR68,0,214,317_AL_.jpg"
nm0903049,"https://m.media-amazon.com/images/M/MV5BMTg1MzYxMzkyNV5BMl5BanBnXkFtZTYwNjMxNjI2._V1_UY317_CR0,0,214,317_AL_.jpg"
nm0744504,NONE
nm0115218,"https://m.media-amazon.com/images/M/MV5BMTczNTA4ODQxN15BMl5BanBnXkFtZTcwNDc1MzQyNw@@._V1_UY317_CR94,0,214,317_AL_.jpg"
nm0195496,"https://m.media-amazon.com/images/M/MV5BMzI4OTllNjctZWFiZC00NGQ3LWFlZWUtODg2ZjQ3YTg5ZDMxXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR27,0,214,317_AL_.jpg"
nm0920074,"https://m.media-amazon.com/images/M/MV5BMzIzMjQ3MzE2MF5BMl5BanBnXkFtZTcwNjA0NTA1OA@@._V1_UY317_CR1,0,214,317_AL_.jpg"
nm0655065,"https://m.media-amazon.com/images/M/MV5BNmYzODQ2NTctMDc1Ni00NjNlLTgyYTUtMjZlOWJlM2ZmNDlmXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY317_CR15,0,214,317_AL_.jpg"
nm0781292,"https://m.media-amazon.com/images/M/MV5BMWU4MTA4YTEtZTAzMy00MmQ5LWI4ZjMtYmRkYTA2NjZjMTIzXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_UY317_CR1,0,214,317_AL_.jpg"
nm0000036,"https://m.media-amazon.com/images/M/MV5BMTI0MjA4ODk5OF5BMl5BanBnXkFtZTYwNDQyNjI2._V1_UY317_CR12,0,214,317_AL_.jpg"
nm0896542,"https://m.media-amazon.com/images/M/MV5BNGIxOTgxZjAtNmZlYy00MjA0LTk1ZjYtMjg5ZGRjMzliNDZjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0903049,"https://m.media-amazon.com/images/M/MV5BMTg1MzYxMzkyNV5BMl5BanBnXkFtZTYwNjMxNjI2._V1_UY317_CR0,0,214,317_AL_.jpg"
nm0501902,"https://m.media-amazon.com/images/M/MV5BM2MyZTMwMGItZDEzZS00N2M1LWI2NjAtMDhkOTlhMmI0MzY5XkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY317_CR11,0,214,317_AL_.jpg"
nm0003433,"https://m.media-amazon.com/images/M/MV5BMTU4OTQzODE3M15BMl5BanBnXkFtZTgwMTk5OTk1MjE@._V1_UY317_CR5,0,214,317_AL_.jpg"
nm0718469,"https://m.media-amazon.com/images/M/MV5BZDYyZDFiODktOTNkZS00YTExLWExM2EtMWQ4MGZkMWY4ZGNiXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR95,0,214,317_AL_.jpg"
nm0000036,"https://m.media-amazon.com/images/M/MV5BMTI0MjA4ODk5OF5BMl5BanBnXkFtZTYwNDQyNjI2._V1_UY317_CR12,0,214,317_AL_.jpg"
nm0412650,"https://m.media-amazon.com/images/M/MV5BZGVhNWQwMmEtZjIyNC00MTY4LWFjN2ItZWRkMjI4MjdiMjBiXkEyXkFqcGdeQXVyMjE5MzM3MjA@._V1_UY317_CR19,0,214,317_AL_.jpg"
nm0000370,"https://m.media-amazon.com/images/M/MV5BMjIxMTUyNjc5OF5BMl5BanBnXkFtZTcwMjMwNjYwNA@@._V1_UY317_CR16,0,214,317_AL_.jpg"
nm0064600,"https://m.media-amazon.com/images/M/MV5BZjgxOGIyOWEtYmJjYy00NzA1LWExYWUtZWYwZjNhYTdmY2QwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0895048,"https://m.media-amazon.com/images/M/MV5BMTQ3NDA4NTI5MF5BMl5BanBnXkFtZTgwMDE1MzkwMjE@._V1_UY317_CR20,0,214,317_AL_.jpg"
nm0282984,"https://m.media-amazon.com/images/M/MV5BYjQ2NjZkNjEtNmQyZS00YjE2LTk0OWUtNTgyNjE5NzhiOGQ2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR17,0,214,317_AL_.jpg"
nm0763798,NONE
nm0000370,"https://m.media-amazon.com/images/M/MV5BMjIxMTUyNjc5OF5BMl5BanBnXkFtZTcwMjMwNjYwNA@@._V1_UY317_CR16,0,214,317_AL_.jpg"
nm0000320,"https://m.media-amazon.com/images/M/MV5BMTAxNDAyNjE4OTBeQTJeQWpwZ15BbWU3MDc2NDM3MTg@._V1_UY317_CR40,0,214,317_AL_.jpg"
nm0587277,"https://m.media-amazon.com/images/M/MV5BMzNhZDI4NGUtZjQ0MS00NWZlLWFiNzQtZWY5ZjcwZmRiODM0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR13,0,214,317_AL_.jpg"
nm0373511,NONE
nm0113284,"https://m.media-amazon.com/images/M/MV5BOGU4MmMyYzktYjQwYi00NmFjLWI1NzktMGQ0NWQ0ODQ3OTQ4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0400652,"https://m.media-amazon.com/images/M/MV5BMTE5NDE2NjQzMF5BMl5BanBnXkFtZTYwMjMxOTM2._V1_UY317_CR0,0,214,317_AL_.jpg"
nm0001843,"https://m.media-amazon.com/images/M/MV5BMTQ5NTE3Njg5M15BMl5BanBnXkFtZTYwNjgwOTM2._V1_UY317_CR21,0,214,317_AL_.jpg"
nm0332539,"https://m.media-amazon.com/images/M/MV5BZGFlYjcwYTktMWM5Yy00OGIwLTlmMGMtMGVhOWIwMjljNTE2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR52,0,214,317_AL_.jpg"
nm0503777,"https://m.media-amazon.com/images/M/MV5BMTMyODc2NTkwOV5BMl5BanBnXkFtZTYwMjA2MjI2._V1_UY317_CR92,0,214,317_AL_.jpg"
nm0749484,"https://m.media-amazon.com/images/M/MV5BNjIyMzM2OTk3OF5BMl5BanBnXkFtZTgwOTQ2MzAwMzE@._V1_UY317_CR129,0,214,317_AL_.jpg"
nm0115218,"https://m.media-amazon.com/images/M/MV5BMTczNTA4ODQxN15BMl5BanBnXkFtZTcwNDc1MzQyNw@@._V1_UY317_CR94,0,214,317_AL_.jpg"
nm0005713,"https://m.media-amazon.com/images/M/MV5BNWZlMTNlYzktMzcwMC00ZjIwLTgzMDAtM2NjYjhmZGEzYjRlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR6,0,214,317_AL_.jpg"
nm0001843,"https://m.media-amazon.com/images/M/MV5BMTQ5NTE3Njg5M15BMl5BanBnXkFtZTYwNjgwOTM2._V1_UY317_CR21,0,214,317_AL_.jpg"
nm0215877,"https://m.media-amazon.com/images/M/MV5BNWMxNTRmMWItZDJlZC00YjY1LTk1ZDItYmFlYjdkNmU4Mzc2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR20,0,214,317_AL_.jpg"
nm0572851,"https://m.media-amazon.com/images/M/MV5BZmFlOWEwOTQtODlhNS00NjdiLWE5ZTktNTJkNWYwNjJjYzg4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR18,0,214,317_AL_.jpg"
nm0001008,"https://m.media-amazon.com/images/M/MV5BMTQ1NjE0NzgzNV5BMl5BanBnXkFtZTYwODg0MjI2._V1_UY317_CR17,0,214,317_AL_.jpg"
nm0920074,"https://m.media-amazon.com/images/M/MV5BMzIzMjQ3MzE2MF5BMl5BanBnXkFtZTcwNjA0NTA1OA@@._V1_UY317_CR1,0,214,317_AL_.jpg"
nm0163229,"https://m.media-amazon.com/images/M/MV5BMTU2OTQ5NjU4OF5BMl5BanBnXkFtZTgwMTkzODEwMzE@._V1_UY317_CR36,0,214,317_AL_.jpg"
nm0719756,"https://m.media-amazon.com/images/M/MV5BMjA0NjI0MTIwNF5BMl5BanBnXkFtZTYwNTY0MjI2._V1_UY317_CR127,0,214,317_AL_.jpg"
nm0541149,"https://m.media-amazon.com/images/M/MV5BMTk3NzM5NzYwMV5BMl5BanBnXkFtZTYwOTA0MjM2._V1_UY317_CR16,0,214,317_AL_.jpg"
nm0097648,"https://m.media-amazon.com/images/M/MV5BNmM1MWM2OGQtMWRmOS00ZDg3LTg1ODUtN2JhNmMzNzc2MzJkXkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1_UY317_CR8,0,214,317_AL_.jpg"
nm0332539,"https://m.media-amazon.com/images/M/MV5BZGFlYjcwYTktMWM5Yy00OGIwLTlmMGMtMGVhOWIwMjljNTE2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR52,0,214,317_AL_.jpg"
nm0896533,"https://m.media-amazon.com/images/M/MV5BMDY4NTg2YjEtNGQ4Ny00YjAyLThhODMtZDUyNzQyYzJiNWZkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR21,0,214,317_AL_.jpg"
nm0102643,"https://m.media-amazon.com/images/M/MV5BNWM2MDYyNTAtYjVlZi00NjNhLTkxYmMtNmE3YTFiZmUxZjNjXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR20,0,214,317_AL_.jpg"
nm0774325,"https://m.media-amazon.com/images/M/MV5BNDQ4NDY3MTI2NF5BMl5BanBnXkFtZTgwNDUxMjMyMjE@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0681635,"https://m.media-amazon.com/images/M/MV5BMTYzMDk1MTAxMF5BMl5BanBnXkFtZTgwOTUxMjMyMjE@._V1_UY317_CR8,0,214,317_AL_.jpg"
nm0005713,"https://m.media-amazon.com/images/M/MV5BNWZlMTNlYzktMzcwMC00ZjIwLTgzMDAtM2NjYjhmZGEzYjRlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR6,0,214,317_AL_.jpg"
nm0281808,"https://m.media-amazon.com/images/M/MV5BMWU2NTRjMGItMzM4MC00MjRlLWEyYjItYTEwNGQ5YzJmYmU3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR2,0,214,317_AL_.jpg"
nm0744514,NONE
nm0001328,"https://m.media-amazon.com/images/M/MV5BMTU5NDcxNTkwMF5BMl5BanBnXkFtZTcwNTc1ODcxOA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
nm0886754,"https://m.media-amazon.com/images/M/MV5BMTA5YjU4Y2UtNzcxNC00NTYyLWEwOTQtMThjNjQ5ZDBlMzEyXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR16,0,214,317_AL_.jpg"
nm0000485,"https://m.media-amazon.com/images/M/MV5BNzU2ODY0NzkwNF5BMl5BanBnXkFtZTgwNDI0MTE5MTE@._V1_UY317_CR26,0,214,317_AL_.jpg"
nm0829954,NONE
nm0523932,"https://m.media-amazon.com/images/M/MV5BMjEwMDI0ODEzMF5BMl5BanBnXkFtZTYwMDg2MjI2._V1_UY317_CR19,0,214,317_AL_.jpg"
nm0654868,"https://m.media-amazon.com/images/M/MV5BMTExMzQyOTA3NDdeQTJeQWpwZ15BbWU4MDA0MjEzMjIx._V1_UY317_CR5,0,214,317_AL_.jpg"
nm0356931,NONE
nm0411208,NONE
nm0572851,"https://m.media-amazon.com/images/M/MV5BZmFlOWEwOTQtODlhNS00NjdiLWE5ZTktNTJkNWYwNjJjYzg4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR18,0,214,317_AL_.jpg"
nm0363414,NONE
nm0337586,"https://m.media-amazon.com/images/M/MV5BYzJmMmVkZDYtNTgyZS00Nzk3LWI5YWQtMDkxMWNmMDA2MTIyXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0515979,"https://m.media-amazon.com/images/M/MV5BMTUwNzA2NjMyNF5BMl5BanBnXkFtZTYwMjg0Njcy._V1_UY317_CR12,0,214,317_AL_.jpg"
nm0002030,"https://m.media-amazon.com/images/M/MV5BMTkzNjU2MTI2Nl5BMl5BanBnXkFtZTcwMDQzNTgxMw@@._V1_UY317_CR122,0,214,317_AL_.jpg"
nm0564970,"https://m.media-amazon.com/images/M/MV5BMjM1NTg0MDEtZGNmYy00ZWRiLTkwYTUtNzRhNTAxMWRkNTlhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR22,0,214,317_AL_.jpg"
nm0293260,NONE
nm0045800,"https://m.media-amazon.com/images/M/MV5BZjQzMzE0NGMtMGEzYS00MjlkLWFiODEtOGU4MGZjYzI1ODg5XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR14,0,214,317_AL_.jpg"
nm0448915,"https://m.media-amazon.com/images/M/MV5BYWUyMTUxMzYtNjQ0ZS00YTkxLTkwNjItZjU4OTI4YjY2YTQ0XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR13,0,214,317_AL_.jpg"
